date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:43:41	106279/106279	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2001:15:54%20GMT	https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/index.html?fbclid=IwAR0LgpsKb8CXmKCa9k8xeGWKMI7FfksiLcs_VVp90misoH7UfWjZqlQAkpo	/Users/macbookpro/Desktop/web%20copy/blog/html.spiderthemes-demos.com/kbdoc/kbdoc-html/index6a48.html	(from )
21:43:43	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2023%20Mar%202023%2014:43:42%20GMT	https://html.spiderthemes-demos.com/robots.txt		(from )
21:43:43	107787/107787	---M-Z	200	added ('OK')	image/x-icon	date:Sat,%2014%20Nov%202020%2019:33:58%20GMT	https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/img/favicon.ico	/Users/macbookpro/Desktop/web%20copy/blog/html.spiderthemes-demos.com/kbdoc/kbdoc-html/img/favicon.ico	(from https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/index.html?fbclid=IwAR0LgpsKb8CXmKCa9k8xeGWKMI7FfksiLcs_VVp90misoH7UfWjZqlQAkpo)
21:43:44	155764/155764	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jul%202020%2005:37:46%20GMT	https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/assets/bootstrap/css/bootstrap.min.css	/Users/macbookpro/Desktop/web%20copy/blog/html.spiderthemes-demos.com/kbdoc/kbdoc-html/assets/bootstrap/css/bootstrap.min.css	(from https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/index.html?fbclid=IwAR0LgpsKb8CXmKCa9k8xeGWKMI7FfksiLcs_VVp90misoH7UfWjZqlQAkpo)
21:43:45	26396/26396	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jul%202020%2005:37:46%20GMT	https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/assets/elagent-icon/style.css	/Users/macbookpro/Desktop/web%20copy/blog/html.spiderthemes-demos.com/kbdoc/kbdoc-html/assets/elagent-icon/style.css	(from https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/index.html?fbclid=IwAR0LgpsKb8CXmKCa9k8xeGWKMI7FfksiLcs_VVp90misoH7UfWjZqlQAkpo)
21:43:46	82619/82619	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jul%202020%2005:37:46%20GMT	https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/assets/animation/animate.css	/Users/macbookpro/Desktop/web%20copy/blog/html.spiderthemes-demos.com/kbdoc/kbdoc-html/assets/animation/animate.css	(from https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/index.html?fbclid=IwAR0LgpsKb8CXmKCa9k8xeGWKMI7FfksiLcs_VVp90misoH7UfWjZqlQAkpo)
21:43:47	197570/197570	---M-Z	200	added ('OK')	text/css	date:Fri,%2012%20Feb%202021%2000:18:50%20GMT	https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/css/style.css	/Users/macbookpro/Desktop/web%20copy/blog/html.spiderthemes-demos.com/kbdoc/kbdoc-html/css/style.css	(from https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/index.html?fbclid=IwAR0LgpsKb8CXmKCa9k8xeGWKMI7FfksiLcs_VVp90misoH7UfWjZqlQAkpo)
21:43:48	37963/37963	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Aug%202020%2006:53:16%20GMT	https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/css/responsive.css	/Users/macbookpro/Desktop/web%20copy/blog/html.spiderthemes-demos.com/kbdoc/kbdoc-html/css/responsive.css	(from https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/index.html?fbclid=IwAR0LgpsKb8CXmKCa9k8xeGWKMI7FfksiLcs_VVp90misoH7UfWjZqlQAkpo)
21:43:49	2618/2618	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Nov%202020%2019:31:40%20GMT	https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/img/spinner_logo.png	/Users/macbookpro/Desktop/web%20copy/blog/html.spiderthemes-demos.com/kbdoc/kbdoc-html/img/spinner_logo.png	(from https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/index.html?fbclid=IwAR0LgpsKb8CXmKCa9k8xeGWKMI7FfksiLcs_VVp90misoH7UfWjZqlQAkpo)
21:43:50	106279/106279	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2001:15:54%20GMT	https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/index.html	/Users/macbookpro/Desktop/web%20copy/blog/html.spiderthemes-demos.com/kbdoc/kbdoc-html/index.html	(from https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/index.html?fbclid=IwAR0LgpsKb8CXmKCa9k8xeGWKMI7FfksiLcs_VVp90misoH7UfWjZqlQAkpo)
